Thermal,Competition,Error,ZiNBModifier,Relative_elpd_loo,Max_rhat
Briere,BHTEMP1,ZiNB,shapecomp,0,1.002
Briere,BHTEMP,ZiNB,shapecomp,-0.53,1.002
Briere,BHTEMP1Beta,ZiNB,shapecomp,-1.29,1.005
Briere,BHTEMPBeta,ZiNB,shapecomp,-1.58,1.01
Briere,BH,ZiNB,shapecomp,-2.15,1.002
Briere,BHBeta,ZiNB,shapecomp,-2.72,1.002
Briere,BHTEMP1LogBeta,ZiNB,shapecomp,-12.8,1.002
Briere,BHTEMP1,ZiNB,shapetemp,-26.1,1.001
Briere,BHTEMP,ZiNB,shapetemp,-26.3,1.001
Briere,BHTEMPBeta,ZiNB,shapetemp,-27.7,1.003
Briere,BHTEMP1Beta,ZiNB,shapetemp,-27.9,1.003
Briere,BH,ZiNB,shapetemp,-31.3,1.002
Briere,BHBeta,ZiNB,shapetemp,-31.8,1.002
Briere,BHTEMP1LogBeta,ZiNB,shapetemp,-34.5,1.001
Briere,BHTEMP1Log,ZiNB,shapecomp,-39.6,1.001
Briere,BH,ZiNB,temp,-50.9,1.002
Briere,BHTEMP1,ZiNB,temp,-50.9,1.002
Briere,BHTEMP,ZiNB,temp,-51.4,1.003
Briere,BHBeta,ZiNB,temp,-51.4,1.003
Briere,BHTEMP1Beta,ZiNB,temp,-51.9,1.002
Briere,BHTEMPBeta,ZiNB,temp,-52,1.002
Briere,BHTEMP1LogBeta,ZiNB,temp,-59.6,1.001
Briere,BHTEMP1Log,ZiNB,shapetemp,-64,1.001
Briere,BHTEMP1,ZiNB,NA,-67.1,1.001
Briere,BHTEMP,ZiNB,NA,-67.9,1.002
Briere,BHTEMPBeta,ZiNB,NA,-69,1.005
Briere,BHTEMP1Beta,ZiNB,NA,-69,1.003
Briere,BH,ZiNB,NA,-70,1.002
Briere,BHBeta,ZiNB,NA,-70.3,1.001
Briere,BHTEMP1,NB,NA,-72.5,1.002
Briere,BHTEMP,NB,NA,-73.2,1.002
Briere,BHTEMP1LogBeta,ZiNB,NA,-73.9,1.001
Briere,BHTEMP1Beta,NB,NA,-74.4,1.002
Briere,BHTEMPBeta,NB,NA,-74.6,1.003
Briere,BH,NB,NA,-75.7,1.001
Briere,BHBeta,NB,NA,-76,1.003
Briere,BHTEMP1Log,ZiNB,temp,-76.4,1.002
Briere,BHTEMP1LogBeta,NB,NA,-78.9,1.001
Briere,BHTEMP1Log,ZiNB,NA,-94.1,1.002
Briere,BHTEMP1Log,NB,NA,-94.8,1.002
Briere,BHTEMP1Beta,Pois,NA,-2500,1.002
Briere,BHTEMPBeta,Pois,NA,-2510,1.003
Briere,BHTEMP1,Pois,NA,-2510,1.002
Briere,BHTEMP,Pois,NA,-2510,1.002
Briere,BHBeta,Pois,NA,-2550,1.001
Briere,BH,Pois,NA,-2560,1.002
Briere,BHTEMP1LogBeta,Pois,NA,-2760,1.001
Briere,BHTEMP1Log,Pois,NA,-3300,1.001
